symbol,name,price,exchange,exchangeShortName,type
PLMIW,Plum Acquisition Corp. I,0.4554,NASDAQ Capital Market,NASDAQ,stock
VNT.AX,Ventia Services Group Limited,3.79,Australian Securities Exchange,ASX,stock
NATIONALUM.NS,National Aluminium Company Limited,166.2,National Stock Exchange of India,NSE,stock
JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,300.65,National Stock Exchange of India,NSE,stock
6486.TWO,Interactive Digital Technologies Inc.,86.0,Taipei Exchange,TWO,stock
PCT.L,Polar Capital Technology Trust plc,2960.0,London Stock Exchange,LSE,stock
SEPC.NS,SEPC Limited,17.95,National Stock Exchange of India,NSE,stock
7581.T,"Saizeriya Co.,Ltd.",5470.0,Tokyo,JPX,stock
GL9.IR,Glanbia plc,17.9,Irish,EURONEXT,stock
7927.T,Muto Seiko Co.,1910.0,Tokyo,JPX,stock
MAPMYINDIA.NS,CE Info Systems Ltd.,1911.45,National Stock Exchange of India,NSE,stock
EMND.DE,iShares MSCI World ESG Enhanced UCITS ETF,7.523,Frankfurt Stock Exchange,XETRA,etf
2436.TW,"Weltrend Semiconductor, Inc.",62.8,Taiwan,TAI,stock
322120.KS,Kim Kindex Smart Quality ETF,16355.0,KSE,KSC,etf
QEPC,"Q.E.P. Co., Inc.",27.69,Other OTC,PNK,stock
9739.T,"Nippon Systemware Co., Ltd.",3015.0,Tokyo,JPX,stock
HAPPSTMNDS.NS,Happiest Minds Technologies Limited,806.8,National Stock Exchange of India,NSE,stock
SUZLON.BO,Suzlon Energy Limited,42.54,Bombay Stock Exchange,BSE,stock
LJPY.L,WisdomTree Long JPY Short USD,24.3,London Stock Exchange,LSE,etf
3LSA.PA,GraniteShares 3x Long Safran Da,15.846,Paris,EURONEXT,etf
TCS.NS,Tata Consultancy Services Limited,3883.8,National Stock Exchange of India,NSE,stock
SUMICHEM.NS,Sumitomo Chemical India Limited,361.55,National Stock Exchange of India,NSE,stock
SARDAEN.NS,Sarda Energy & Minerals Limited,206.75,National Stock Exchange of India,NSE,stock
TITAN.NS,Titan Company Limited,3755.95,National Stock Exchange of India,NSE,stock
CRSR,"Corsair Gaming, Inc.",12.03,NASDAQ Global Select,NASDAQ,stock
NHPC.NS,NHPC Limited,92.2,National Stock Exchange of India,NSE,stock
DRMU.TO,Desjardins RI USA,37.49,Toronto Stock Exchange,TSX,etf
JTEKTINDIA.NS,JTEKT India Limited,181.4,National Stock Exchange of India,NSE,stock
SDR.L,Schroders plc,370.6,London Stock Exchange,LSE,stock
300540.SZ,"Sichuan Shudao Equipment & Technology Co.,Ltd.",24.55,Shenzhen,SHZ,stock
2385.TW,"Chicony Electronics Co., Ltd.",220.0,Taiwan,TAI,stock
6736.T,Sun Corporation,3320.0,Tokyo,JPX,stock
RSLS,ReShape Lifesciences Inc.,0.1688,NASDAQ Capital Market,NASDAQ,stock
AUROPHARMA.NS,Aurobindo Pharma Limited,1101.45,National Stock Exchange of India,NSE,stock
300966.SZ,"Hubei Goto Biopharm Co.,Ltd.",17.2,Shenzhen,SHZ,stock
MITSY,"Mitsui & Co., Ltd.",913.42,Other OTC,PNK,stock
FACT.NS,The Fertilisers And Chemicals Travancore Limited,675.15,National Stock Exchange of India,NSE,stock
008600.KS,"The Willbes & CO., Ltd.",512.0,KSE,KSC,stock
VERV,"Verve Therapeutics, Inc.",8.32,NASDAQ Global Select,NASDAQ,stock
